64
0 -8 5
0 -7 6
0 -6 6
0 -5 5
0 -5 6
0 -6 7
0 -6 8
0 -5 9
0 -8 9
0 -4 0
0 -1 0
0 -2 1
0 -2 3
0 -1 4
0 -4 4
0 -3 3
0 -3 1
0 0 -5
0 3 -5
0 3 -4
0 1 -2
0 3 -2
0 3 -1
0 0 -1
0 0 -2
0 2 -4
0 0 -4
0 4 -10
0 7 -10
0 5 -8
0 7 -6
0 4 -6
1 -8 5
1 -7 6
1 -6 6
1 -5 5
1 -5 6
1 -6 7
1 -6 8
1 -5 9
1 -8 9
1 -4 0
1 -1 0
1 -2 1
1 -2 3
1 -1 4
1 -4 4
1 -3 3
1 -3 1
1 0 -5
1 3 -5
1 3 -4
1 1 -2
1 3 -2
1 3 -1
1 0 -1
1 0 -2
1 2 -4
1 0 -4
1 4 -10
1 7 -10
1 5 -8
1 7 -6
1 4 -6
96
1 2
2 3
3 4
4 5
5 6
6 7
7 8
8 9
9 1
10 11
11 12
12 13
13 14
14 15
15 16
16 17
17 10
18 19
19 20
20 21
21 22
22 23
23 24
24 25
25 26
26 27
27 18
28 29
29 30
30 31
31 32
32 28
33 34
34 35
35 36
36 37
37 38
38 39
39 40
40 41
41 33
42 43
43 44
44 45
45 46
46 47
47 48
48 49
49 42
50 51
51 52
52 53
53 54
54 55
55 56
56 57
57 58
58 59
59 50
60 61
61 62
62 63
63 64
64 60
1 33
2 34
3 35
4 36
5 37
6 38
7 39
8 40
9 41
10 42
11 43
12 44
13 45
14 46
15 47
16 48
17 49
18 50
19 51
20 52
21 53
22 54
23 55
24 56
25 57
26 58
27 59
28 60
29 61
30 62
31 63
32 64
